ringno,year,day,time,sex,tarsus,type,mass,wing
D21232,2008,49,3, ,22.2,f,26.4,123
D21233,2008,49,3, ,21.9,f,26.4,124
D21234,2008,49,3, ,22.6,f,22.6,120
D21235,2008,49,5, ,21.6,f,28,119
D21236,2008,51,-3, ,22.3,f,25,122
D21237,2008,51,-1, ,22.8,f,26.2,125
D21238,2008,51,-1, ,22.1,f,26.4,122
D21239,2008,51,-1, ,23.5,f,23.8,121
D21240,2008,51,0, ,21.1,f,24.7,125.5
D21241,2008,51,1,1,22.2,f,22.7,123.5
D21242,2008,51,1,2,21.5,f,26,128
D21243,2008,51,1, ,22.15,f,26.8,126
D21244,2008,51,1, ,22,f,26.7,124
D21245,2008,51,4,2,21.8,f,24.9,124.5
